src,dst,weight
0,35,0.01760607657089559
1,19,0.004724473375056121
1,47,0.00245326603726911
2,6,0.023236390022574258
2,8,0.0064701180653486045
2,20,0.01654182928010863
2,23,0.016099489833358425
3,34,0.025336597388922934
3,40,0.032295240009700805
3,45,0.016723133553423298
4,12,0.018335070329244543
4,15,0.0104479183898674
4,18,0.008272619523651565
4,31,0.012296979831194758
5,8,0.01753555043431809
5,13,0.0065162464034163375
5,24,0.009381803007552285
5,36,0.01467526517781991
5,40,0.008714452794210018
5,45,0.006099297059197068
6,8,0.007645406345479634
6,20,0.03914781107330471
6,23,0.009463342345875772
6,36,0.007356992194115713
7,21,0.004409697044913286
7,33,0.0264609165136807
7,38,0.01760607657089559
8,17,0.011358970552359036
8,24,0.011894989055992906
8,36,0.011212720723021442
9,22,0.018780237453350838
9,29,0.0068077924986887995
10,20,0.05869418776119625
10,32,0.02692946167304965
10,36,0.006099028756830545
11,14,0.02389376866694278
11,34,0.08213847121991256
11,48,0.009187268179604115
12,31,0.010284158595190539
12,39,0.008280761103857752
13,30,0.006836060757961621
13,32,0.0032287081558540942
13,36,0.006677648454434694
14,34,0.018335361332378126
14,43,0.02257261503273022
15,31,0.0080299537820402
15,43,0.018894300735095897
16,35,0.01661857004367436
17,24,0.04106167251273006
17,42,0.014914493324338631
18,31,0.019183877092453845
18,39,0.007568081507102427
20,27,0.0025087298196151443
20,36,0.0063697027071905835
21,37,0.03745037909709566
22,47,0.0068272916369287884
23,27,0.003612174512997956
23,42,0.009953021841737554
25,48,0.006220137381622666
25,49,0.013617948581235599
26,28,0.010815494385249015
26,41,0.009212324305729658
28,41,0.0067246495411903565
28,46,0.009809881615166565
30,34,0.0049736443181597765
30,45,0.006873814326323639
30,48,0.004446839776145468
31,49,0.004532997972712495
32,36,0.006099028756830545
33,38,0.017846536017403377
34,45,0.017289176237713883
34,48,0.00933411510485558
37,38,0.0053465901162456095
37,41,0.013132856357513182
40,45,0.015221639818963564
42,44,0.035606570470008224
45,48,0.007790127512271458
48,49,0.004289103868595573
