X,Y,Por,Perm,AI,Facies,ix,iy
120.0,629.0,6.291237277982326,173.09168128127334,4834.683260341903,0.0,12.0,37.0
310.0,19.0,7.1373401602134114,221.72630304063716,4846.445636652941,0.0,31.0,98.0
60.0,719.0,9.769938069495055,457.98250049000586,4376.138340808043,1.0,6.0,28.0
660.0,649.0,10.297285052586385,412.17601191565507,4104.301716192998,1.0,66.0,35.0
540.0,329.0,8.058642301451517,283.5609853118183,4131.263331216288,1.0,54.0,67.0
400.0,779.0,7.072025968582857,319.60252008838575,4076.9057816253085,1.0,40.0,22.0
70.0,809.0,13.547354772335634,505.1052793544336,3989.579302567461,1.0,7.0,19.0
220.0,149.0,5.28965950864771,155.0041762092536,5003.058511542795,0.0,22.0,85.0
300.0,719.0,13.670390260966442,556.221872531096,3944.2275765331215,1.0,30.0,28.0
830.0,349.0,5.5293886817355204,171.70517342896937,5068.44853826823,0.0,83.0,65.0
0.0,859.0,17.942271478612206,596.2753167864211,3643.5266519150914,1.0,0.0,14.0
740.0,599.0,12.053838531192593,541.1889569179276,3969.52201028367,1.0,74.0,40.0
440.0,279.0,11.203131591832868,473.28062164124935,4097.599171680824,1.0,44.0,72.0
610.0,949.0,14.603297744482255,570.1063613971519,4089.4620896932147,1.0,61.0,5.0
690.0,529.0,7.871857679253807,344.878925304071,4435.032773733426,1.0,69.0,47.0
720.0,379.0,8.760435923360504,343.4619597362153,4311.323060548806,1.0,72.0,62.0
200.0,699.0,6.132852510744293,184.86889683887188,4907.550919802636,0.0,20.0,30.0
380.0,569.0,11.229454354550564,459.6022509079857,4247.3394857463045,1.0,38.0,43.0
560.0,89.0,12.641712800943955,483.0318493523597,3993.1876654923835,1.0,56.0,91.0
0.0,9.0,5.284404532017971,170.08069923505428,5256.0805859118545,0.0,0.0,99.0
20.0,829.0,20.006321486291007,748.1932336084485,3774.4995147411264,1.0,2.0,17.0
270.0,429.0,8.285513689327669,240.76371140540576,4492.537981571765,0.0,27.0,57.0
840.0,249.0,5.412280863583551,181.00504442036174,4987.112313425323,0.0,84.0,75.0
100.0,599.0,11.92062799490609,433.03122976460327,4300.185759131694,1.0,10.0,40.0
390.0,619.0,12.977556698869027,488.7460670193224,3772.9918758688486,1.0,39.0,38.0
900.0,309.0,9.384749633459105,410.6718005604596,4058.9763400068837,1.0,90.0,69.0
450.0,569.0,5.693292884959913,173.46850485826454,4883.565800045924,0.0,45.0,43.0
40.0,79.0,13.83924093330593,534.227461190165,3881.2644556091404,1.0,4.0,92.0
580.0,559.0,4.840039897556867,147.05206704255426,5293.398243568374,0.0,58.0,44.0
740.0,479.0,6.787133886769941,165.55810692878114,4461.932237878502,0.0,74.0,52.0
840.0,929.0,13.923789573640397,536.0770574380977,3908.132271625855,1.0,84.0,7.0
610.0,179.0,10.742790018508167,484.142638611606,4164.796891268271,1.0,61.0,82.0
0.0,939.0,16.344918203669575,635.040946229382,3788.678362179314,1.0,0.0,6.0
230.0,109.0,4.113670950583018,162.20704304128438,5160.190772385917,0.0,23.0,89.0
740.0,629.0,11.416842031296992,499.9737683879223,4046.9796475820567,1.0,74.0,37.0
180.0,639.0,7.551855699371884,192.8346314179629,4701.657619687813,0.0,18.0,36.0
330.0,899.0,9.520398356883279,425.0069075297778,4363.661923267465,1.0,33.0,10.0
310.0,419.0,5.2203963549966215,153.13279786563717,5270.193751678884,0.0,31.0,58.0
280.0,139.0,4.511352759902475,162.42359204682217,5055.510454100668,0.0,28.0,86.0
290.0,89.0,8.905604706606661,351.3369706467943,3964.9411554963267,1.0,29.0,91.0
610.0,689.0,11.177889095477607,414.26760768682766,4533.388140519027,1.0,61.0,31.0
390.0,459.0,4.885623978873046,144.7680550687751,5200.967346228263,0.0,39.0,54.0
270.0,489.0,13.212432707574159,635.5941733735914,3869.2469741671975,1.0,27.0,51.0
710.0,439.0,9.057677615725485,396.84681602230705,4479.427489009865,1.0,71.0,56.0
310.0,449.0,11.05277621480085,490.7352359719477,3993.0266036234702,1.0,31.0,55.0
730.0,749.0,12.708181630509232,512.1195138817856,4150.800913048704,1.0,73.0,25.0
610.0,409.0,9.631897016854358,265.2637009441949,4985.640961506357,0.0,61.0,59.0
900.0,79.0,8.852574856952078,238.55133224771433,4484.303606504359,0.0,90.0,92.0
960.0,629.0,8.225957716385834,354.74874958392905,4453.04920764217,1.0,96.0,37.0
910.0,169.0,8.573931125032775,348.7516132537858,4865.005109186832,1.0,91.0,83.0
